Table S3. List of predicted non-carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
8496,Isophthalic Acid,C8H6O4,"InChI=1S/C8H6O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",C1=CC(=CC(=C1)C(=O)O)C(=O)O,QQVIHTHCMHWDBS-UHFFFAOYSA-N,"benzene-1,3-dicarboxylic acid",166.13,0.3841
8554,Dimethyl Phthalate,C10H10O4,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",COC(=O)C1=CC=CC=C1C(=O)OC,NIQCNGHVCWTJSM-UHFFFAOYSA-N,"dimethyl benzene-1,2-dicarboxylate",194.18,0.4622
8900,Heptane,C7H16,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,100.2,0.2719
11226,Phenoperidine,C23H29NO3,"InChI=1S/C23H29NO3/c1-2-27-22(26)23(20-11-7-4-8-12-20)14-17-24(18-15-23)16-13-21(25)19-9-5-3-6-10-19/h3-12,21,25H,2,13-18H2,1H3",CCOC(=O)C1(CCN(CC1)CCC(C2=CC=CC=C2)O)C3=CC=CC=C3,IPOPQVVNCFQFRK-UHFFFAOYSA-N,ethyl 1-(3-hydroxy-3-phenylpropyl)-4-phenylpiperidine-4-carboxylate,367.5,0.3979
11288,"1,2,3-Benzenetricarboxylic acid",C9H6O6,"InChI=1S/C9H6O6/c10-7(11)4-2-1-3-5(8(12)13)6(4)9(14)15/h1-3H,(H,10,11)(H,12,13)(H,14,15)",C1=CC(=C(C(=C1)C(=O)O)C(=O)O)C(=O)O,UJMDYLWCYJJYMO-UHFFFAOYSA-N,"benzene-1,2,3-tricarboxylic acid",210.14,0.3757
11418,2-Methylcyclohexanol,C7H14O,"InChI=1S/C7H14O/c1-6-4-2-3-5-7(6)8/h6-8H,2-5H2,1H3",CC1CCCCC1O,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-methylcyclohexan-1-ol,114.19,0.4301
11429,"1,2-Butanediol",C4H10O2,"InChI=1S/C4H10O2/c1-2-4(6)3-5/h4-6H,2-3H2,1H3",CCC(CO)O,BMRWNKZVCUKKSR-UHFFFAOYSA-N,"butane-1,2-diol",90.12,0.3237
11444,beta-Ala-3-methyl-His,C10H16N4O3,"InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)",CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,MYYIAHXIVFADCU-UHFFFAOYSA-N,2-(3-aminopropanoylamino)-3-(3-methylimidazol-4-yl)propanoic acid,240.26,0.4279
11520,3-Heptanol,C7H16O,"InChI=1S/C7H16O/c1-3-5-6-7(8)4-2/h7-8H,3-6H2,1-2H3",CCCCC(CC)O,RZKSECIXORKHQS-UHFFFAOYSA-N,heptan-3-ol,116.2,0.3259
13986,Bunamidine,C25H38N2O,"InChI=1S/C25H38N2O/c1-4-7-10-13-20-28-24-17-16-23(21-14-11-12-15-22(21)24)25(26)27(18-8-5-2)19-9-6-3/h11-12,14-17,26H,4-10,13,18-20H2,1-3H3",CCCCCCOC1=CC=C(C2=CC=CC=C21)C(=N)N(CCCC)CCCC,FGGFIMIICGZCCJ-UHFFFAOYSA-N,"N,N-dibutyl-4-hexoxynaphthalene-1-carboximidamide",382.6,0.4781
14649,"4-[(1,8,8-Trimethyl-3-azabicyclo[3.2.1]octan-3-yl)methyl]aniline",C17H26N2,"InChI=1S/C17H26N2/c1-16(2)14-8-9-17(16,3)12-19(11-14)10-13-4-6-15(18)7-5-13/h4-7,14H,8-12,18H2,1-3H3",CC1(C2CCC1(CN(C2)CC3=CC=C(C=C3)N)C)C,DMIPPSDWOIHURG-UHFFFAOYSA-N,"4-[(1,8,8-trimethyl-3-azabicyclo[3.2.1]octan-3-yl)methyl]aniline",258.399,0.4875
16402,Hexamethylenediamine,C6H16N2,InChI=1S/C6H16N2/c7-5-3-1-2-4-6-8/h1-8H2,C(CCCN)CCN,NAQMVNRVTILPCV-UHFFFAOYSA-N,"hexane-1,6-diamine",116.2,0.2884
16589,Methiocarb sulfone,C11H15NO4S,"InChI=1S/C11H15NO4S/c1-7-5-9(16-11(13)12-3)6-8(2)10(7)17(4,14)15/h5-6H,1-4H3,(H,12,13)",CC1=CC(=CC(=C1S(=O)(=O)C)C)OC(=O)NC,RJBJMKAMQIOAML-UHFFFAOYSA-N,"(3,5-dimethyl-4-methylsulfonylphenyl) N-methylcarbamate",257.31,0.4765
24748,Carmellose (JP17/NF/INN),C8H16O8,"InChI=1S/C6H12O6.C2H4O2/c7-1-3(9)5(11)6(12)4(10)2-8;1-2(3)4/h1,3-6,8-12H,2H2;1H3,(H,3,4)",CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,VJHCJDRQFCCTHL-UHFFFAOYSA-N,"acetic acid;2,3,4,5,6-pentahydroxyhexanal",240.21,0.2399
157798,Cylindol B,C16H14O7,"InChI=1S/C16H14O7/c1-21-15(19)11-7-9(3-5-13(11)17)23-10-4-6-14(18)12(8-10)16(20)22-2/h3-8,17-18H,1-2H3",COC(=O)C1=C(C=CC(=C1)OC2=CC(=C(C=C2)O)C(=O)OC)O,VSXYXFKPDHKDNT-UHFFFAOYSA-N,methyl 2-hydroxy-5-(4-hydroxy-3-methoxycarbonylphenoxy)benzoate,318.28,0.3665
517046,"Phosphoric acid, isoamyl-isooctyl ester",C13H29O4P,"InChI=1S/C13H29O4P/c1-12(2)8-6-5-7-10-16-18(14,15)17-11-9-13(3)4/h12-13H,5-11H2,1-4H3,(H,14,15)",CC(C)CCCCCOP(=O)(O)OCCC(C)C,RPXNGPMIXAZAKB-UHFFFAOYSA-N,3-methylbutyl 6-methylheptyl hydrogen phosphate,280.34,0.4181
3032634,Phenolphthalein glucuronide,C26H22O10,"InChI=1S/C26H22O10/c27-15-9-5-13(6-10-15)26(18-4-2-1-3-17(18)24(33)36-26)14-7-11-16(12-8-14)34-25-21(30)19(28)20(29)22(35-25)23(31)32/h1-12,19-22,25,27-30H,(H,31,32)/t19-,20-,21+,22-,25+,26?/m0/s1",C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,FXJYOZKDDSONLX-XADSOVDISA-N,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[4-[1-(4-hydroxyphenyl)-3-oxo-2-benzofuran-1-yl]phenoxy]oxane-2-carboxylic acid",494.4,0.4598
5364519,"3-Octen-1-ol, (3Z)-",C8H16O,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h5-6,9H,2-4,7-8H2,1H3/b6-5-",CCCC/C=C\CCO,YDXQPTHHAPCTPP-WAYWQWQTSA-N,(Z)-oct-3-en-1-ol,128.21,0.3386
23679038,sodium (7R)-3-(acetyloxymethyl)-7-[[2-[[4-(dimethylamino)phenyl]diazenyl]benzoyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,C25H24N5NaO6S,"InChI=1S/C25H25N5O6S.Na/c1-14(31)36-12-15-13-37-24-20(23(33)30(24)21(15)25(34)35)26-22(32)18-6-4-5-7-19(18)28-27-16-8-10-17(11-9-16)29(2)3;/h4-11,20,24H,12-13H2,1-3H3,(H,26,32)(H,34,35);/q;+1/p-1/t20-,24?;/m1./s1",CC(=O)OCC1=C(N2C([C@@H](C2=O)NC(=O)C3=CC=CC=C3N=NC4=CC=C(C=C4)N(C)C)SC1)C(=O)[O-].[Na+],UQILHFBNTTVUSK-HWFYOASNSA-M,sodium (7R)-3-(acetyloxymethyl)-7-[[2-[[4-(dimethylamino)phenyl]diazenyl]benzoyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate,545.5,0.4915
