Table S6. Confusion matrices for different molecular fingerprint combinations.,,,,,,,
Model_Name,Fingerprint,FP_Count,TP,TN,FP,FN,Total_Samples
MultiFPStacking,Pub+Kle+ECF,3,306,49,95,22,472
MultiFPUnionPipeline,Pub+Kle+MAC,3,306,55,89,22,472
MultiFPVoting,Pub+Kle+MAC,3,306,47,97,22,472
MultiFPStacking,Pub+Kle+MAC,3,304,54,90,24,472
MultiFPUnionPipeline,Pub+Kle+Ato,3,311,45,99,17,472
MultiFPVoting,Pub+Kle+Ato,3,310,45,99,18,472
MultiFPStacking,Pub+Kle+Ato,3,308,48,96,20,472
MultiFPUnionPipeline,Pub+Kle+RDK,3,308,48,96,20,472
MultiFPVoting,Pub+Kle+RDK,3,310,42,102,18,472
MultiFPStacking,Pub+Kle+RDK,3,310,47,97,18,472
MultiFPUnionPipeline,Pub+ECF+MAC,3,306,45,99,22,472
MultiFPVoting,Pub+ECF+MAC,3,308,47,97,20,472
MultiFPStacking,Pub+ECF+MAC,3,303,52,92,25,472
MultiFPUnionPipeline,Pub+ECF+Ato,3,306,53,91,22,472
MultiFPVoting,Pub+ECF+Ato,3,310,40,104,18,472
MultiFPStacking,Pub+ECF+Ato,3,305,48,96,23,472
MultiFPUnionPipeline,Pub+ECF+RDK,3,310,46,98,18,472
MultiFPVoting,Pub+ECF+RDK,3,312,41,103,16,472
MultiFPStacking,Pub+ECF+RDK,3,307,46,98,21,472
MultiFPUnionPipeline,Pub+MAC+Ato,3,308,54,90,20,472
MultiFPVoting,Pub+MAC+Ato,3,307,49,95,21,472
MultiFPStacking,Pub+MAC+Ato,3,304,51,93,24,472
MultiFPUnionPipeline,Pub+MAC+RDK,3,304,54,90,24,472
MultiFPVoting,Pub+MAC+RDK,3,307,49,95,21,472
MultiFPStacking,Pub+MAC+RDK,3,307,47,97,21,472
MultiFPUnionPipeline,Pub+Ato+RDK,3,320,34,110,8,472
MultiFPVoting,Pub+Ato+RDK,3,313,40,104,15,472
MultiFPStacking,Pub+Ato+RDK,3,311,47,97,17,472
MultiFPUnionPipeline,Kle+ECF+MAC,3,316,34,110,12,472
MultiFPVoting,Kle+ECF+MAC,3,306,45,99,22,472
MultiFPStacking,Kle+ECF+MAC,3,308,55,89,20,472
MultiFPUnionPipeline,Kle+ECF+Ato,3,315,29,115,13,472
MultiFPVoting,Kle+ECF+Ato,3,310,41,103,18,472
MultiFPStacking,Kle+ECF+Ato,3,304,51,93,24,472
MultiFPUnionPipeline,Kle+ECF+RDK,3,312,40,104,16,472
MultiFPVoting,Kle+ECF+RDK,3,315,40,104,13,472
MultiFPStacking,Kle+ECF+RDK,3,308,48,96,20,472
MultiFPUnionPipeline,Kle+MAC+Ato,3,314,47,97,14,472
MultiFPVoting,Kle+MAC+Ato,3,308,46,98,20,472
MultiFPStacking,Kle+MAC+Ato,3,305,55,89,23,472
MultiFPUnionPipeline,Kle+MAC+RDK,3,317,37,107,11,472
MultiFPVoting,Kle+MAC+RDK,3,312,45,99,16,472
MultiFPStacking,Kle+MAC+RDK,3,305,50,94,23,472
MultiFPUnionPipeline,Kle+Ato+RDK,3,312,48,96,16,472
MultiFPVoting,Kle+Ato+RDK,3,314,43,101,14,472
MultiFPStacking,Kle+Ato+RDK,3,309,46,98,19,472
MultiFPUnionPipeline,ECF+MAC+Ato,3,312,36,108,16,472
MultiFPVoting,ECF+MAC+Ato,3,310,42,102,18,472
MultiFPStacking,ECF+MAC+Ato,3,307,53,91,21,472
MultiFPUnionPipeline,ECF+MAC+RDK,3,319,36,108,9,472
MultiFPVoting,ECF+MAC+RDK,3,313,43,101,15,472
MultiFPStacking,ECF+MAC+RDK,3,306,52,92,22,472
MultiFPUnionPipeline,ECF+Ato+RDK,3,319,29,115,9,472
MultiFPVoting,ECF+Ato+RDK,3,312,37,107,16,472
MultiFPStacking,ECF+Ato+RDK,3,309,46,98,19,472
MultiFPUnionPipeline,MAC+Ato+RDK,3,303,54,90,25,472
MultiFPVoting,MAC+Ato+RDK,3,314,42,102,14,472
MultiFPStacking,MAC+Ato+RDK,3,308,49,95,20,472
MultiFPUnionPipeline,Pub+Kle+ECF+MAC,4,309,46,98,19,472
MultiFPVoting,Pub+Kle+ECF+MAC,4,306,45,99,22,472
MultiFPStacking,Pub+Kle+ECF+MAC,4,306,51,93,22,472
MultiFPUnionPipeline,Pub+Kle+ECF+Ato,4,314,38,106,14,472
MultiFPVoting,Pub+Kle+ECF+Ato,4,312,42,102,16,472
MultiFPStacking,Pub+Kle+ECF+Ato,4,305,50,94,23,472
MultiFPUnionPipeline,Pub+Kle+ECF+RDK,4,310,43,101,18,472
MultiFPVoting,Pub+Kle+ECF+RDK,4,314,42,102,14,472
MultiFPStacking,Pub+Kle+ECF+RDK,4,308,49,95,20,472
MultiFPUnionPipeline,Pub+Kle+MAC+Ato,4,311,50,94,17,472
MultiFPVoting,Pub+Kle+MAC+Ato,4,310,45,99,18,472
MultiFPStacking,Pub+Kle+MAC+Ato,4,307,52,92,21,472
MultiFPUnionPipeline,Pub+Kle+MAC+RDK,4,312,47,97,16,472
MultiFPVoting,Pub+Kle+MAC+RDK,4,311,44,100,17,472
MultiFPStacking,Pub+Kle+MAC+RDK,4,305,50,94,23,472
MultiFPUnionPipeline,Pub+Kle+Ato+RDK,4,312,46,98,16,472
MultiFPVoting,Pub+Kle+Ato+RDK,4,314,42,102,14,472
MultiFPStacking,Pub+Kle+Ato+RDK,4,308,47,97,20,472
MultiFPUnionPipeline,Pub+ECF+MAC+Ato,4,311,44,100,17,472
MultiFPVoting,Pub+ECF+MAC+Ato,4,313,45,99,15,472
MultiFPStacking,Pub+ECF+MAC+Ato,4,306,51,93,22,472
MultiFPUnionPipeline,Pub+ECF+MAC+RDK,4,307,47,97,21,472
MultiFPVoting,Pub+ECF+MAC+RDK,4,313,45,99,15,472
MultiFPStacking,Pub+ECF+MAC+RDK,4,307,51,93,21,472
MultiFPUnionPipeline,Pub+ECF+Ato+RDK,4,314,43,101,14,472
MultiFPVoting,Pub+ECF+Ato+RDK,4,313,41,103,15,472
MultiFPStacking,Pub+ECF+Ato+RDK,4,310,49,95,18,472
MultiFPUnionPipeline,Pub+MAC+Ato+RDK,4,310,51,93,18,472
MultiFPVoting,Pub+MAC+Ato+RDK,4,312,45,99,16,472
MultiFPStacking,Pub+MAC+Ato+RDK,4,308,49,95,20,472
MultiFPUnionPipeline,Kle+ECF+MAC+Ato,4,315,37,107,13,472
MultiFPVoting,Kle+ECF+MAC+Ato,4,308,45,99,20,472
MultiFPStacking,Kle+ECF+MAC+Ato,4,305,55,89,23,472
MultiFPUnionPipeline,Kle+ECF+MAC+RDK,4,312,43,101,16,472
MultiFPVoting,Kle+ECF+MAC+RDK,4,315,43,101,13,472
MultiFPStacking,Kle+ECF+MAC+RDK,4,305,53,91,23,472
MultiFPUnionPipeline,Kle+ECF+Ato+RDK,4,314,40,104,14,472
MultiFPVoting,Kle+ECF+Ato+RDK,4,313,39,105,15,472
MultiFPStacking,Kle+ECF+Ato+RDK,4,308,50,94,20,472
MultiFPUnionPipeline,Kle+MAC+Ato+RDK,4,319,34,110,9,472
MultiFPVoting,Kle+MAC+Ato+RDK,4,313,45,99,15,472
MultiFPStacking,Kle+MAC+Ato+RDK,4,307,51,93,21,472
MultiFPUnionPipeline,ECF+MAC+Ato+RDK,4,309,47,97,19,472
MultiFPVoting,ECF+MAC+Ato+RDK,4,315,40,104,13,472
MultiFPStacking,ECF+MAC+Ato+RDK,4,305,52,92,23,472
MultiFPUnionPipeline,Pub+Kle+ECF+MAC+Ato,5,315,46,98,13,472
MultiFPVoting,Pub+Kle+ECF+MAC+Ato,5,310,44,100,18,472
MultiFPStacking,Pub+Kle+ECF+MAC+Ato,5,305,51,93,23,472
MultiFPUnionPipeline,Pub+Kle+ECF+MAC+RDK,5,311,44,100,17,472
MultiFPVoting,Pub+Kle+ECF+MAC+RDK,5,313,43,101,15,472
MultiFPStacking,Pub+Kle+ECF+MAC+RDK,5,308,52,92,20,472
MultiFPUnionPipeline,Pub+Kle+ECF+Ato+RDK,5,313,42,102,15,472
MultiFPVoting,Pub+Kle+ECF+Ato+RDK,5,313,41,103,15,472
MultiFPStacking,Pub+Kle+ECF+Ato+RDK,5,310,50,94,18,472
MultiFPUnionPipeline,Pub+Kle+MAC+Ato+RDK,5,311,51,93,17,472
MultiFPVoting,Pub+Kle+MAC+Ato+RDK,5,314,43,101,14,472
MultiFPStacking,Pub+Kle+MAC+Ato+RDK,5,307,51,93,21,472
MultiFPUnionPipeline,Pub+ECF+MAC+Ato+RDK,5,300,53,91,28,472
MultiFPVoting,Pub+ECF+MAC+Ato+RDK,5,313,43,101,15,472
MultiFPStacking,Pub+ECF+MAC+Ato+RDK,5,308,49,95,20,472
MultiFPUnionPipeline,Kle+ECF+MAC+Ato+RDK,5,314,41,103,14,472
MultiFPVoting,Kle+ECF+MAC+Ato+RDK,5,312,42,102,16,472
MultiFPStacking,Kle+ECF+MAC+Ato+RDK,5,307,52,92,21,472
MultiFPUnionPipeline,Pub+Kle+ECF+MAC+Ato+RDK,6,312,48,96,16,472
MultiFPVoting,Pub+Kle+ECF+MAC+Ato+RDK,6,313,42,102,15,472
MultiFPStacking,Pub+Kle+ECF+MAC+Ato+RDK,6,308,50,94,20,472
