#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0072359	Circulatory system development	13	901	0.99	1.32	9.92e-09	9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	EP300,PIK3CA,FGF2,EGF,TP53,ERBB2,ATM,FN1,JUN,PTEN,AKT1,PTPN11,CTNNB1
GO:1902895	Positive regulation of miRNA transcription	6	48	1.93	2.83	9.96e-09	9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000360266,9606.ENSP00000398698,9606.ENSP00000478887	FGF2,STAT3,TP53,JUN,TNF,MYC
GO:1903039	Positive regulation of leukocyte cell-cell adhesion	9	274	1.35	1.98	1.22e-08	9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000300305,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000489597	IL1B,PIK3CA,RUNX1,SRC,JAK2,IL6,TNF,AKT1,PTPN11
GO:0030098	Lymphocyte differentiation	9	279	1.34	1.96	1.41e-08	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000428056,9606.ENSP00000495360	EP300,STAT3,TP53,ERBB2,ATM,BCL2,IL6,PIK3R1,CTNNB1
GO:0048646	Anatomical structure formation involved in morphogenesis	13	938	0.97	1.28	1.58e-08	9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000376345,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	EP300,PIK3CA,FGF2,EGF,TP53,ATM,FN1,JUN,PTEN,GRB2,AKT1,PTPN11,CTNNB1
GO:0071478	Cellular response to radiation	8	183	1.47	2.18	1.63e-08	9606.ENSP00000263253,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000376345,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000478887	EP300,TP53,ATM,BRCA2,GRB2,BRCA1,PIK3R1,MYC
GO:0030162	Regulation of proteolysis	12	739	1.04	1.4	1.64e-08	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000478887	IL1B,STAT3,EGF,TP53,RUNX1,FN1,PTEN,SRC,JAK2,TNF,AKT1,MYC
GO:0043491	Protein kinase B signaling	6	53	1.89	2.72	1.67e-08	9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000361021,9606.ENSP00000398698,9606.ENSP00000451828	IL1B,PIK3CA,FGF2,PTEN,TNF,AKT1
GO:0006974	Cellular response to DNA damage stimulus	12	744	1.04	1.39	1.75e-08	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000478887,9606.ENSP00000489597	CCND1,EP300,TP53,ATM,BRCA2,GRB2,BCL2,TNF,BRCA1,PIK3R1,MYC,PTPN11
GO:0045765	Regulation of angiogenesis	9	288	1.33	1.92	1.80e-08	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269571,9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000418960,9606.ENSP00000495360	IL1B,FGF2,STAT3,ERBB2,RUNX1,IL6,TNF,BRCA1,CTNNB1
GO:0036293	Response to decreased oxygen levels	9	291	1.32	1.91	1.95e-08	9606.ENSP00000263253,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000478887	EP300,TP53,ATM,PTEN,SRC,BCL2,TNF,AKT1,MYC
