#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05134	Legionellosis	3	55	1.57	1.28	0.00023	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
hsa04213	Longevity regulating pathway - multiple species	3	61	1.52	1.22	0.00031	9606.ENSP00000263967,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,PIK3R1,AKT1
hsa04929	GnRH secretion	3	63	1.51	1.21	0.00033	9606.ENSP00000263967,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,PIK3R1,AKT1
hsa04137	Mitophagy - animal	3	64	1.5	1.2	0.00035	9606.ENSP00000269305,9606.ENSP00000360266,9606.ENSP00000362680	TP53,JUN,SRC
hsa04360	Axon guidance	4	176	1.19	1.01	0.00036	9606.ENSP00000263967,9606.ENSP00000362680,9606.ENSP00000428056,9606.ENSP00000489597	PIK3CA,SRC,PIK3R1,PTPN11
hsa04640	Hematopoietic cell lineage	3	90	1.35	1.01	0.00090	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
hsa04666	Fc gamma R-mediated phagocytosis	3	90	1.35	1.01	0.00090	9606.ENSP00000263967,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,PIK3R1,AKT1
hsa04350	TGF-beta signaling pathway	3	91	1.35	1.01	0.00091	9606.ENSP00000263253,9606.ENSP00000398698,9606.ENSP00000478887	EP300,TNF,MYC
hsa04070	Phosphatidylinositol signaling system	3	94	1.34	0.99	0.00099	9606.ENSP00000263967,9606.ENSP00000361021,9606.ENSP00000428056	PIK3CA,PTEN,PIK3R1
hsa04914	Progesterone-mediated oocyte maturation	3	95	1.33	0.99	0.0010	9606.ENSP00000263967,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,PIK3R1,AKT1
hsa05017	Spinocerebellar ataxia	3	135	1.18	0.81	0.0027	9606.ENSP00000263967,9606.ENSP00000428056,9606.ENSP00000451828	PIK3CA,PIK3R1,AKT1
hsa04934	Cushing syndrome	3	153	1.12	0.75	0.0038	9606.ENSP00000227507,9606.ENSP00000275493,9606.ENSP00000495360	CCND1,EGFR,CTNNB1
hsa04960	Aldosterone-regulated sodium reabsorption	2	37	1.56	0.9	0.0038	9606.ENSP00000263967,9606.ENSP00000428056	PIK3CA,PIK3R1
hsa04390	Hippo signaling pathway	3	154	1.12	0.75	0.0039	9606.ENSP00000227507,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,MYC,CTNNB1
hsa04940	Type I diabetes mellitus	2	38	1.55	0.89	0.0039	9606.ENSP00000263341,9606.ENSP00000398698	IL1B,TNF
hsa04340	Hedgehog signaling pathway	2	46	1.47	0.82	0.0055	9606.ENSP00000227507,9606.ENSP00000381185	CCND1,BCL2
hsa03460	Fanconi anemia pathway	2	51	1.43	0.79	0.0067	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
hsa04020	Calcium signaling pathway	3	191	1.03	0.65	0.0069	9606.ENSP00000265171,9606.ENSP00000269571,9606.ENSP00000275493	EGF,ERBB2,EGFR
hsa04623	Cytosolic DNA-sensing pathway	2	62	1.34	0.72	0.0095	9606.ENSP00000263341,9606.ENSP00000385675	IL1B,IL6
hsa05217	Basal cell carcinoma	2	63	1.33	0.71	0.0098	9606.ENSP00000269305,9606.ENSP00000495360	TP53,CTNNB1
hsa00562	Inositol phosphate metabolism	2	72	1.28	0.67	0.0125	9606.ENSP00000263967,9606.ENSP00000361021	PIK3CA,PTEN
