#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0051219	Phosphoprotein binding	4	92	1.47	0.97	0.0019	9606.ENSP00000362680,9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000489597	SRC,GRB2,PIK3R1,PTPN11
GO:0050839	Cell adhesion molecule binding	7	560	0.93	0.7	0.0022	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000362680,9606.ENSP00000489597,9606.ENSP00000495360	IL1B,FGF2,EGFR,FN1,SRC,PTPN11,CTNNB1
GO:0003682	Chromatin binding	7	584	0.91	0.67	0.0028	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000360266,9606.ENSP00000405330,9606.ENSP00000495360	EP300,STAT3,TP53,EGFR,JUN,ESR1,CTNNB1
GO:0003677	DNA binding	13	2498	0.55	0.45	0.0031	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887	EP300,STAT3,TP53,EGFR,ATM,RUNX1,JUN,BRCA2,BCL2,TNF,ESR1,BRCA1,MYC
GO:0097718	Disordered domain specific binding	3	34	1.78	0.97	0.0031	9606.ENSP00000269305,9606.ENSP00000346839,9606.ENSP00000495360	TP53,FN1,CTNNB1
GO:0019207	Kinase regulator activity	5	247	1.14	0.75	0.0043	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000275493,9606.ENSP00000428056	CCND1,PIK3CA,EGF,EGFR,PIK3R1
GO:0030331	Nuclear estrogen receptor binding	3	41	1.7	0.89	0.0048	9606.ENSP00000362680,9606.ENSP00000405330,9606.ENSP00000495360	SRC,ESR1,CTNNB1
GO:0001223	Transcription coactivator binding	3	43	1.68	0.87	0.0054	9606.ENSP00000263253,9606.ENSP00000300305,9606.ENSP00000405330	EP300,RUNX1,ESR1
GO:0043125	ErbB-3 class receptor binding	2	5	2.43	0.93	0.0055	9606.ENSP00000269571,9606.ENSP00000428056	ERBB2,PIK3R1
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6	458	0.95	0.63	0.0059	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000405330,9606.ENSP00000478887	STAT3,TP53,RUNX1,JUN,ESR1,MYC
GO:0001784	Phosphotyrosine residue binding	3	46	1.65	0.85	0.0059	9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000489597	GRB2,PIK3R1,PTPN11
