#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:9261	Nasopharynx carcinoma	3	4	2.71	2.19	4.36e-06	9606.ENSP00000269305,9606.ENSP00000451828,9606.ENSP00000478887	TP53,AKT1,MYC
DOID:11396	Pulmonary edema	3	5	2.61	2.1	6.65e-06	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:3114	Serous cystadenocarcinoma	3	5	2.61	2.1	6.65e-06	9606.ENSP00000269305,9606.ENSP00000369497,9606.ENSP00000418960	TP53,BRCA2,BRCA1
DOID:8283	Peritonitis	3	5	2.61	2.1	6.65e-06	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:3012	Li-Fraumeni syndrome	3	6	2.53	2.03	9.70e-06	9606.ENSP00000269305,9606.ENSP00000369497,9606.ENSP00000418960	TP53,BRCA2,BRCA1
DOID:707	B-cell lymphoma	4	34	1.9	1.85	1.08e-05	9606.ENSP00000227507,9606.ENSP00000269305,9606.ENSP00000381185,9606.ENSP00000478887	CCND1,TP53,BCL2,MYC
DOID:2703	Synovitis	3	8	2.41	1.91	1.82e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:0080199	Colorectal carcinoma	3	9	2.35	1.85	2.38e-05	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000495360	TP53,EGFR,CTNNB1
DOID:4074	Pancreatic adenocarcinoma	3	9	2.35	1.85	2.38e-05	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000451828	TP53,EGFR,AKT1
DOID:0080191	PTEN hamartoma tumor syndrome	3	10	2.31	1.81	3.02e-05	9606.ENSP00000263967,9606.ENSP00000361021,9606.ENSP00000451828	PIK3CA,PTEN,AKT1
DOID:11394	Adult respiratory distress syndrome	3	10	2.31	1.81	3.02e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:6457	Cowden syndrome	3	10	2.31	1.81	3.02e-05	9606.ENSP00000263967,9606.ENSP00000361021,9606.ENSP00000451828	PIK3CA,PTEN,AKT1
DOID:6713	Cerebrovascular disease	4	46	1.77	1.65	3.02e-05	9606.ENSP00000263341,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,BCL2,IL6,TNF
DOID:824	Periodontitis	3	10	2.31	1.81	3.02e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:0080001	Bone disease	8	540	1.0	1.02	3.08e-05	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000489597	IL1B,STAT3,TP53,RUNX1,IL6,TNF,ESR1,PTPN11
DOID:4960	Bone marrow cancer	4	47	1.76	1.63	3.17e-05	9606.ENSP00000227507,9606.ENSP00000300305,9606.ENSP00000371067,9606.ENSP00000489597	CCND1,RUNX1,JAK2,PTPN11
