SMILES,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]c1c([H])c(OC([H])([H])C([H])([H])[H])c([H])c(N([H])[H])c1[H],137.18200000000002,35.25,1,2,1.6674999999999998,42.02340000000001
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],130.187,26.3,0,2,1.7397,36.157999999999994
[H]c1c([H])c([H])c([N+]([H])([H])C([H])([H])C([H])([H])Br)c([H])c1[H],201.08700000000002,16.61,1,0,1.2764,46.688400000000016
[H]N=C(c1c([H])c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c12)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],382.59200000000027,36.32,1,2,7.026470000000007,121.80270000000009
CC(C)[Hg]C(C)C,286.76800000000003,0.0,0,0,2.725500000000001,30.19599999999998
[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c(-c4c([H])c([H])c([H])c([H])c4[H])c3[H])c2[H])c([H])c1[H],306.408,0.0,0,0,6.687600000000005,102.75000000000003
[H]C(=O)C([H])=C(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],146.18899999999996,17.07,0,1,2.2888,46.157000000000025
[H]c1c([H])c(C([H])([H])N2C([H])([H])C3([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C2([H])[H])C3(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1N([H])[H],258.409,29.259999999999998,1,2,3.526900000000002,80.74340000000005
[H]c1c([H])c([H])c(C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C#N)c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],314.4320000000001,27.03,0,2,4.969080000000004,99.69500000000005
O[Si](O)(O)O,96.11399999999999,80.92,4,4,-2.6088,14.629199999999999
CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Ca+2],607.0300000000005,80.25999999999999,0,4,9.614799999999999,174.85999999999953
[H]C1([H])C([H])([H])C([H])([H])C([H])(C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H],138.254,0.0,0,0,3.3668000000000022,43.91600000000002
[H]OC([H])([H])C1([H])OC([H])(c2c([H])c([H])c([H])c([H])c2[H])OC1([H])[H],180.20299999999997,38.69,1,3,1.0929,47.09380000000004
[H]c1c([H])c(N(C([H])([H])C([H])([H])I)C([H])([H])C([H])([H])I)c([H])c([H])c1N([H])C(=O)C([H])([H])[H],458.0810000000001,32.34,1,2,3.3214000000000015,90.73270000000004
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],116.20800000000001,52.04,2,2,0.46420000000000006,36.57679999999999
[H]c1c(OC(=O)N([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c(S(=O)(=O)C([H])([H])[H])c1C([H])([H])[H],257.3109999999999,72.47,1,4,1.42514,64.10950000000003
CCC[Hg]Cl,279.132,0.0,0,0,2.051,20.950999999999993
[H]c1c([H])c([H])c(-c2c([H])c([H])c3nc4c([H])c([H])c([H])c([H])c4c(N([H])[H])c3c2[H])c([H])c1[H],270.335,38.91,1,2,4.637200000000003,89.09740000000001
CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O,240.208,155.51999999999998,6,7,-3.2878999999999983,50.48680000000003
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H],116.15999999999998,37.3,1,2,0.7363999999999999,31.595799999999983
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],116.16000000000001,26.3,0,2,1.3496000000000001,31.540999999999983
