Model,Fingerprint,FP_Count,AUC,Accuracy,F1,MCC,Sensitivity,Specificity,BA
MultiFPUnionPipeline,Kle+MAC+Ato,3,0.781906335,0.764830508,0.849797023,0.389404353,0.957317073,0.326388889,0.641852981
MultiFPStacking,Kle+Ato+RDK,3,0.781874577,0.752118644,0.840816327,0.349434058,0.942073171,0.319444444,0.630758808
MultiFPVoting,Kle+MAC+Ato,3,0.781673442,0.75,0.839237057,0.343155819,0.93902439,0.319444444,0.629234417
MultiFPUnionPipeline,Kle+ECF+MAC+RDK,4,0.781631098,0.752118644,0.842105263,0.347826613,0.951219512,0.298611111,0.624915312
MultiFPVoting,MAC+Ato+RDK,3,0.781271172,0.754237288,0.844086022,0.354526314,0.957317073,0.291666667,0.62449187
MultiFPVoting,Pub+ECF+Ato+RDK,4,0.781271172,0.75,0.841397849,0.340297026,0.954268293,0.284722222,0.619495257
MultiFPUnionPipeline,Pub+Kle+Ato,3,0.781080623,0.754237288,0.842818428,0.355322465,0.948170732,0.3125,0.630335366
MultiFPStacking,Kle+RDK,2,0.780974763,0.756355932,0.844384303,0.361971688,0.951219512,0.3125,0.631859756
MultiFPVoting,Pub+Kle+ECF+Ato,4,0.780763042,0.75,0.84097035,0.340648753,0.951219512,0.291666667,0.621443089
MultiFPVoting,Pub+Kle+ECF,3,0.780636009,0.747881356,0.8385346,0.335264263,0.942073171,0.305555556,0.623814363
MultiFPUnionPipeline,Pub+Kle+ECF+MAC+Ato,5,0.780265498,0.764830508,0.850202429,0.389565807,0.960365854,0.319444444,0.639905149
VotingEnsemble,,1,0.78023374,0.75,0.835195531,0.353357958,0.911585366,0.381944444,0.646764905
MultiFPStacking,Pub+Ato+RDK,3,0.780127879,0.758474576,0.845108696,0.369262126,0.948170732,0.326388889,0.63727981
MultiFPVoting,Kle+MAC,2,0.780032605,0.745762712,0.833795014,0.337016717,0.917682927,0.354166667,0.635924797
StackingEnsemble,,1,0.780000847,0.743644068,0.832177531,0.331542284,0.914634146,0.354166667,0.634400407
MultiFPUnionPipeline,ECF+MAC,2,0.779799712,0.730932203,0.830892144,0.272303487,0.951219512,0.229166667,0.590193089
XGBoost,,1,0.779450373,0.73940678,0.827972028,0.324124448,0.902439024,0.368055556,0.63524729
MultiFPUnionPipeline,Pub+ECF+Ato,3,0.779386856,0.76059322,0.844137931,0.379082173,0.932926829,0.368055556,0.650491192
MultiFPUnionPipeline,Kle+ECF+Ato,3,0.779291582,0.728813559,0.831134565,0.261587097,0.960365854,0.201388889,0.580877371
