Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
PIK3CD,27,0.03988183161004431,0.0004293476207298096,0.3702618129789654,0.048766442161307134,0.0021459841783086817,0.5768566220550978,-0.12621320859267182,0.8360403052428997,0.3219590928464588,0.401946395188988
MET,24,0.03545051698670606,0.00034035907921308746,0.41455841479179356,0.05732168920630605,0.0019410212075677842,0.4457587037020175,-0.13148303393849492,1.1151833556383943,0.22362228807049508,0.39090591655286033
PARP1,25,0.03692762186115214,0.0003503768453428873,0.4124132224772176,0.0509138577961049,0.0021328981627532686,0.4894580098197109,-0.13088979039320742,0.9061067974916343,0.3156807053293563,0.3829453564027951
PTK2,23,0.033973412112259974,0.000621611352634534,0.4140200272401159,0.05615019135037648,0.0020268518197743856,0.402059397584324,-0.11482751476956692,1.076959388134484,0.2648019612858671,0.3803661803461919
E2F1,23,0.033973412112259974,0.0014464255431619639,0.4169985885871671,0.051443471762690006,0.0022036167153897572,0.402059397584324,-0.06598272360036632,0.9233871936493402,0.3496099388856178,0.3788245347614134
CD8A,27,0.03988183161004431,0.0009583417099941358,0.4071461315132685,0.0389208763741749,0.00248066368156005,0.5768566220550978,-0.09488663090208324,0.5147963654438522,0.4825310871670861,0.37764365051595106
CDK4,25,0.03692762186115214,0.0002755089905955051,0.3955278175867112,0.052957063703073584,0.0019418520879238284,0.4894580098197109,-0.13532340074135563,0.9727731049001077,0.22402092651269345,0.37683825953412015
RAD51D,32,0.047267355982274745,4.669253253477711e-05,0.3207197394113574,0.033930463454401406,0.002152673692705004,0.795353152643565,-0.14887371575582642,0.35196774368324757,0.3251685773150886,0.3765824386859584
ATR,30,0.044313146233382575,0.0007652176225989074,0.38270758820514916,0.03742229777735226,0.0020822410030000463,0.7079545404081781,-0.1063232742417551,0.4659003138658905,0.2913764946168042,0.3726586322789625
PPARG,22,0.03249630723781389,0.00016923072066488617,0.4242121370258007,0.05862230022098877,0.00194284542319801,0.35836009146663056,-0.14161710902159938,1.157620064257901,0.22449750731448986,0.36644526907239905
KIT,23,0.033973412112259974,0.0007982826929961117,0.409499577360166,0.054560242813724735,0.0019158881135284147,0.402059397584324,-0.10436518904257393,1.0250820919958223,0.2115639725951122,0.36195870481205683
AR,21,0.0310192023633678,0.00014886836540586637,0.4239300810836293,0.061471756586233,0.0018510377118785867,0.31466078534893716,-0.14282295029077527,1.2505929424903417,0.1804501510905262,0.3606341560156078
HDAC1,21,0.0310192023633678,0.007287419163225276,0.41891645331785704,0.03734265651340458,0.002284076315266879,0.31466078534893716,0.27991592468815085,0.4633017559003781,0.38821271643547456,0.3504131505113362
CSF3,25,0.03692762186115214,0.0004548555537093245,0.37884185499095574,0.04277406664960093,0.002206821926747746,0.4894580098197109,-0.12470265061021803,0.6405193611188198,0.3511477300409514,0.3384680590162985
CXCL8,21,0.0310192023633678,0.00019791500927577582,0.4250605612998523,0.05771040903107832,0.0018505102959387022,0.31466078534893716,-0.13991844997435376,1.1278666173917253,0.18019710831831875,0.33676440752054837
RUNX1,24,0.03545051698670606,0.001658409654181868,0.39899301749047467,0.03990188762011203,0.002324400234931944,0.4457587037020175,-0.05342920578645147,0.5468050812907258,0.40755926182155744,0.33353111347154984
IGF1R,22,0.03249630723781389,0.00019457393106351084,0.4097627518957445,0.053439095138039024,0.0019217975706635451,0.35836009146663056,-0.14011630576955253,0.9885009645907787,0.21439920244433144,0.33097698897795463
BCL2L1,22,0.03249630723781389,0.0002251603659035309,0.415098204394387,0.053236941041668845,0.0018967859260376125,0.35836009146663056,-0.13830500324890144,0.9819050228472024,0.20239915577338735,0.3277106169252133
