Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Zscore_Degree,Zscore_Betweenness,Zscore_Eigenvector,Zscore_PageRank,Composite_Score
MAPK8,27,0.06,0.002439063850793949,0.4547803617571059,0.07102028398843772,0.0033555526577637154,0.5250995793767159,-0.06000945321144236,1.1290731447116562,0.4217365780356282,0.4789444340284469
NBN,31,0.06888888888888889,0.0009872701709354016,0.40548748560058645,0.06954629959380747,0.0028978488507935937,0.7075142994220839,-0.148139956946574,1.0873559246862656,0.25215246053108425,0.47849669260455585
PPARG,26,0.057777777777777775,0.003789819193802815,0.44307128962123815,0.06944926783881396,0.0032818916550695887,0.47949589936537396,0.021987562241807576,1.0846096981405433,0.3944443948679257,0.46913127394002657
HRAS,29,0.06444444444444444,0.0009832522291567086,0.43766248445800837,0.06522045248100161,0.0035100399670821153,0.6163069393994,-0.14838386435425,0.9649242921272314,0.4789757655133119,0.46739147422933613
MMP9,27,0.06,0.0003009836964691903,0.44536461927766274,0.07523951374526841,0.0033006038352618563,0.5250995793767159,-0.18980067881113524,1.2484872557053708,0.4013774561974742,0.4663076254596358
CDK1,26,0.057777777777777775,0.0076844166612273,0.4500232450023245,0.044144956253428215,0.004345174226075331,0.47949589936537396,0.25840740716297433,0.36843825301247285,0.7884018706766032,0.46379344130643974
NRAS,29,0.06444444444444444,0.0012164032919841862,0.43544759334233013,0.06095004285234241,0.0035197313858343813,0.6163069393994,-0.13423053051733114,0.8440616705646671,0.48256653900359514,0.44747543807410967
FOXO3,25,0.05555555555555555,0.0017871673932468785,0.44861545591472596,0.07525656799349936,0.003019794944580624,0.433892219354032,-0.09958254406025285,1.2489699309822666,0.2973347823363076,0.4362275834225628
ATR,30,0.06666666666666667,0.00066190321455362,0.404724574056653,0.06690431191548912,0.002801906844912494,0.6619106194107419,-0.16789121648331953,1.0125814686728258,0.2166049292429642,0.43553319225608783
NF1,27,0.06,0.002423501180983468,0.4372177055103884,0.06497126677353256,0.0031528072378142393,0.5250995793767159,-0.06095417831177126,0.9578717513923773,0.3466172484678396,0.4294441081759511
BRIP1,31,0.06888888888888889,9.965067645196338e-05,0.3529304530124875,0.06381225379232375,0.0028401300534262835,0.7075142994220839,-0.20202251220165005,0.9250689620782474,0.2307670336110983,0.428291575885186
RAD52,31,0.06888888888888889,6.676675741339478e-05,0.35235235235235235,0.06296055797547159,0.0028433477343378435,0.7075142994220839,-0.20401871620078627,0.9009639702508144,0.23195921853394239,0.42320996350448414
CDK4,27,0.06,0.0008861592694684614,0.43195002231146806,0.06933782038114883,0.003020333343207805,0.5250995793767159,-0.1542778502319773,1.0814554733538877,0.29753426474101075,0.4210133378428359
FOXO1,25,0.05555555555555555,0.0003011714906787886,0.4543001290625367,0.07562599936660609,0.0030442766932724445,0.433892219354032,-0.18978927884534116,1.259425706452021,0.3064055300199541,0.4175812043569709
MAPK1,26,0.057777777777777775,0.0003723677363010499,0.43900226757369615,0.06725133308711596,0.003249661147566685,0.47949589936537396,-0.18546734172866258,1.022402982810265,0.38250264981715687,0.4024378558711996
TGFB1,26,0.057777777777777775,0.0006260534664430575,0.4472164472164472,0.06519644213934914,0.0033021845832185734,0.47949589936537396,-0.17006745984599164,0.9642447430700976,0.4019631400898839,0.3985482764483793
SHC1,30,0.06666666666666667,0.0020259415631548217,0.4002067183462532,0.037190531556736385,0.004240461524848522,0.6619106194107419,-0.0850878619543387,0.171611701606087,0.7496047036907834,0.39464003236454903
XRCC1,29,0.06444444444444444,0.0016879581642078479,0.40548748560058645,0.05801050778073328,0.0028747683105377294,0.6163069393994,-0.10560499714823965,0.7608659245300348,0.2436008754421834,0.3901995394971737
MUS81,30,0.06666666666666667,7.926565982559402e-05,0.35235235235235235,0.06062992429768892,0.002761462686676589,0.6619106194107419,-0.20325997576748261,0.835001563668461,0.201619939434702,0.3881780234725216
BCL2L1,21,0.04666666666666667,0.012360130848297969,0.4358887763143082,0.04515065252987055,0.003289134221191606,0.2514774993086641,0.5422446027265955,0.39690181951690995,0.3971278424721768,0.38238420783749866
BRAF,25,0.05555555555555555,0.0011597637168984454,0.44035027863072895,0.06913644598745015,0.0028260952797386214,0.433892219354032,-0.1376688112819481,1.0757561050837678,0.22556700102680838,0.37770969517553943
